cid,mac,device_name,model,zone_name,mgmt_ip,2GHz_public_enable,2GHz_public_hidden,5GHz_public_enable,5GHz_public_hidden,5GHz_cpe_enable,5GHz_cpe_hidden,last_seen
LAP0213809,AA-BB-CC-DD-EE-FB,A1P-PGIL01ZLWY-BW(Pole Remove),LAP,CreateTesting1,,Yes,No,Yes,No,Yes,No,2020/11/20 03:55:32 PM
LAP0570919,28-30-AC-70-01-F6,QA Testing,LAP,default,192.168.0.163/24,Yes,No,Yes,No,Yes,Yes,2023/03/21 04:25:06 PM
LAP0380704,28-30-AC-70-02-84,28-30-AC-70-02-84,LAP,default,,Yes,No,Yes,No,Yes,Yes,2021/01/30 05:52:08 PM
LAP0686449,B8-EE-65-01-E0-E1,B8-EE-65-01-E0-E1,LAP,Testing LCAC,192.168.20.1/24,Yes,No,Yes,No,Yes,Yes,2021/02/05 01:34:57 PM
LAP0206973,28-30-AC-60-0E-17,,LAP,default,192.168.20.1/24,Yes,No,Yes,No,Yes,Yes,2021/02/05 02:59:12 PM
LAP0378229,28-30-AC-70-10-E8,MyanmarNet AP,LAP,default,192.168.0.191/24,Yes,No,Yes,No,Yes,Yes,2022/09/13 05:00:02 PM
LAP0617534,28-30-AC-70-54-36,A1O-011L01ZLWY-SE,LAP,AP Testing Zone,192.168.0.141/24,Yes,No,Yes,No,Yes,No,2022/09/26 04:40:31 PM
LAP0562147,28-30-AC-70-5B-A6,A1U-013L01ZLWY-SN,LAP,AP Testing Zone,172.22.90.9/19,Yes,No,Yes,No,Yes,Yes,2023/07/05 10:22:10 AM
LAP0149792,28-30-AC-70-11-46,Frontiir AP,LAP,default,192.168.0.124/24,Yes,No,Yes,No,Yes,Yes,2023/07/26 04:55:21 PM
